id,title,type,year,runtimeMin,seasons,avgEpisodeMin,imdbRating,imdbVotes,tmdbPopularity,posterUrl,genres,maturityRating,country,macroRegion,dataImputed
s1,Inception,Movie,2010,148,,,8.8,2500000,98.4,,Action|Sci-Fi|Thriller,PG-13,United States,North America,FALSE
s2,Avengers: Infinity War,Movie,2018,149,,,8.4,1200000,120.1,,Action|Adventure|Sci-Fi,PG-13,United States,North America,FALSE
s3,Spider-Man 3,Movie,2007,139,,,6.3,640000,72.8,,Action|Adventure,PG-13,United States,North America,FALSE
s4,The Irishman,Movie,2019,209,,,7.8,430000,41.2,,Crime|Drama,R,United States,North America,FALSE
s5,Roma,Movie,2018,135,,,7.7,170000,22.4,,Drama,R,Mexico,Latin America,FALSE
s6,Squid Game,TV Show,2021,,1,54,8.0,650000,140.6,,Thriller|Drama,TV-MA,South Korea,Asia,FALSE
s7,Attack on Titan,TV Show,2013,,4,24,9.0,520000,95.2,,Action|Animation|Drama,TV-MA,Japan,Asia,FALSE
s8,Dark,TV Show,2017,,3,50,8.7,430000,48.1,,Sci-Fi|Mystery|Drama,TV-MA,Germany,Europe,FALSE
s9,Money Heist,TV Show,2017,,5,50,8.2,540000,88.4,,Crime|Thriller,TV-MA,Spain,Europe,FALSE
s10,Stranger Things,TV Show,2016,,4,55,8.7,1400000,110.3,,Sci-Fi|Horror|Drama,TV-14,United States,North America,FALSE
s11,The Crown,TV Show,2016,,6,58,8.6,280000,39.7,,Drama|History,TV-MA,United Kingdom,Europe,FALSE
s12,Sacred Games,TV Show,2018,,2,50,8.5,110000,18.9,,Crime|Thriller,TV-MA,India,Asia,FALSE
s13,Lupin,TV Show,2021,,3,45,7.5,160000,44.6,,Crime|Mystery,TV-MA,France,Europe,FALSE
s14,Narcos,TV Show,2015,,3,49,8.8,520000,52.1,,Crime|Drama,TV-MA,Colombia,Latin America,FALSE
s15,The Platform,Movie,2019,94,,,7.0,270000,35.4,,Horror|Sci-Fi|Thriller,TV-MA,Spain,Europe,FALSE
s16,Extraction,Movie,2020,116,,,6.8,240000,61.2,,Action|Thriller,R,United States,North America,FALSE
s17,Minnal Murali,Movie,2021,158,,,7.8,42000,12.4,,Action|Comedy|Fantasy,TV-14,India,Asia,FALSE
s18,The Night Manager,TV Show,2016,,1,58,8.1,130000,16.8,,Thriller|Drama,TV-MA,United Kingdom,Europe,FALSE
s19,Fauda,TV Show,2015,,4,45,8.3,32000,14.1,,Action|Thriller,TV-MA,Israel,MENA,FALSE
s20,Cairo Conspiracy,Movie,2022,126,,,7.1,18000,9.6,,Drama|Thriller,PG-13,Egypt,MENA,FALSE
s21,Ramy,TV Show,2019,,3,30,8.0,18000,11.2,,Comedy|Drama,TV-MA,United States,North America,TRUE
s22,The Kingdom,TV Show,2020,,3,42,7.4,9000,13.5,,Drama,TV-MA,Saudi Arabia,MENA,TRUE
s23,Baby,TV Show,2018,,3,40,6.8,14000,10.8,,Drama,TV-MA,Italy,Europe,FALSE
s24,Elite,TV Show,2018,,8,50,7.2,90000,46.2,,Drama|Thriller,TV-MA,Spain,Europe,FALSE
s25,The Power of the Dog,Movie,2021,126,,,6.8,190000,28.1,,Drama|Western,R,New Zealand,Oceania,FALSE
s26,Lion,Movie,2016,118,,,8.0,250000,19.4,,Drama,PG-13,Australia,Oceania,FALSE
